1001,1,1,cup,227,,
1001,2,1,tbsp,14.2,,
1001,3,1,"pat (1"" sq, 1/3"" high)",5,,
1001,4,1,stick,113,,
1002,1,1,cup,151,,
1002,2,1,tbsp,9.4,,
1002,3,1,"pat (1"" sq, 1/3"" high)",3.8,,
1002,4,1,stick,76,,
1003,1,1,cup,205,,
1003,2,1,tbsp,12.8,,
1004,1,1,oz,28.35,,
1004,2,1,cubic inch,17,,
1004,3,1,"cup, crumbled, not packed",135,,
1005,1,1,"cup, diced",132,,
1005,2,1,"cup, shredded",113,,
1005,3,1,oz,28.35,,
1005,4,1,cubic inch,17,,
1005,5,1,slice (1 oz),28,,
1006,1,1,"cup, melted",240,,
1006,2,1,"cup, sliced",144,,
1006,3,1,oz,28.35,,
1006,4,1,cubic inch,17,,
1006,5,1,package (4.5 oz),128,,
1007,1,1,cup,246,,
1007,2,1,oz,28.35,,
1007,3,1,cubic inch,17,,
1007,4,1,wedge (1.33 oz),38,,
1008,1,1,oz,28.35,,
1009,1,1,"cup, diced",132,,
1009,2,1,"cup, melted",244,,
1009,3,1,"cup, shredded",113,,
1009,4,1,oz,28.35,,
1009,5,1,cubic inch,17,,
1009,6,1,slice (1 oz),28,,
1010,1,1,oz,28.35,,
1011,1,1,"cup, diced",132,,
1011,2,1,"cup, shredded",113,,
1011,3,1,oz,28.35,,
1011,4,1,cubic inch,17,,
1011,5,1,slice (1 oz),28,,
1012,1,4,oz,113,,
1012,2,1,"cup, large curd (not packed)",210,,
1012,3,1,"cup, small curd (not packed)",225,,
1013,1,1,cup (not packed),226,,
1013,2,4,oz,113,,
1014,1,1,cup (not packed),145,,
1014,2,4,oz,113,,
1015,1,1,cup (not packed),226,,
1015,2,4,oz,113,,
1016,1,1,cup (not packed),226,,
1016,2,4,oz,113,,
1017,1,1,cup,232,,
1017,2,1,tbsp,14.5,,
1017,3,1,"tbsp, whipped",10,,
1017,4,1,oz,28.35,,
1017,5,1,cubic inch,16,,
1017,6,1,"package, small (3 oz)",85,,
1018,1,1,oz,28.35,,
1018,2,1,package (7 oz),198,,
1019,1,1,"cup, crumbled",150,,
1019,2,1,oz,28.35,,
1019,3,1,cubic inch,17,,
1019,4,1,wedge (1.33 oz),38,,
1020,1,1,"cup, diced",132,,
1020,2,1,"cup, shredded",108,,
1020,3,1,oz,28.35,,
1020,4,1,cubic inch,15,,
1020,5,1,slice (1 oz),28,,
1020,6,1,package (8 oz),227,,
1021,1,1,oz,28.35,,
1021,2,1,package (8 oz),227,,
1022,1,1,oz,28.35,,
1022,2,1,package (7 oz),198,,
1023,1,1,"cup, diced",132,,
1023,2,1,"cup, shredded",108,,
1023,3,1,oz,28.35,,
1023,4,1,cubic inch,15,,
1023,5,1,slice (1 oz),28,,
1023,6,1,package (6 oz),170,,
1024,1,1,cup,134,,
1024,2,1,oz,28.35,,
1024,3,1,cubic inch,18,,
1024,4,1,box,113,,
1024,5,1,package (8 oz),227,,
1025,1,1,"cup, diced",132,,
1025,2,1,"cup, shredded",113,,
1025,3,1,oz,28.35,,
1025,4,1,cubic inch,17,,
1025,5,1,slice (1 oz),28,,
1025,6,1,package (6 oz),170,,
1026,1,1,"cup, shredded",112,,
1026,2,1,oz,28.35,,
1026,3,6,slices,170,,
1027,1,1,oz,28.35,,
1027,2,1,cubic inch,18,,
1028,1,1,oz,28.35,,
1029,1,1,"cup, diced",132,,
1029,2,1,"cup, shredded",113,,
1029,3,1,oz,28.35,,
1029,4,1,cubic inch,18,,
1029,5,1,slice (1 oz),28,,
1030,1,1,"cup, diced",132,,
1030,2,1,"cup, shredded",113,,
1030,3,1,oz,28.35,,
1030,4,1,cubic inch,18,,
1030,5,1,slice (1 oz),28,,
1030,6,1,package (6 oz),170,,
1031,1,1,oz,28.35,,
1031,2,1,package (3 oz),85,,
1032,1,1,cup,100,,
1032,2,1,tbsp,5,,
1032,3,1,oz,28.35,,
1033,1,1,oz,28.35,,
1033,2,1,cubic inch,10.3,,
1033,3,5,package (5 oz),142,,
1034,1,1,"cup, diced",132,,
1034,2,1,"cup, shredded",113,,
1034,3,1,oz,28.35,,
1034,4,1,cubic inch,17,,
1034,5,1,slice (1 oz),28,,
1034,6,1,package (6 oz),170,,
1035,1,1,"cup, diced",132,,
1035,2,1,oz,28.35,,
1035,3,1,cubic inch,17,,
1035,4,1,slice (1 oz),28,,
1035,5,1,package (6 oz),170,,
1036,1,1,cup,246,,
1036,2,0.5,cup,124,,
1037,1,1,cup,246,,
1037,2,1,oz,28.35,,
1037,3,0.5,cup,124,,
1038,1,1,oz,28.35,,
1038,2,5,package (5 oz),142,,
1039,1,1,oz,28.35,,
1039,2,1,package (3 oz),85,,
1040,1,1,"cup, diced",132,,
1040,2,1,"cup, melted",244,,
1040,3,1,"cup, shredded",108,,
1040,4,1,oz,28.35,,
1040,5,1,cubic inch,15,,
1040,6,1,slice (1 oz),28,,
1041,1,1,oz,28.35,,
1041,2,1,package (6 oz),170,,
1042,1,1,"cup, diced",140,,
1042,2,1,"cup, melted",244,,
1042,3,1,"cup, shredded",113,,
1042,4,1,oz,28.35,,
1042,5,1,cubic inch,18,,
1042,6,1,slice (3/4 oz),21,,
1042,7,1,slice (1 oz),28,,
1043,1,1,"cup, diced",140,,
1043,2,1,"cup, melted",244,,
1043,3,1,"cup, shredded",113,,
1043,4,1,oz,28.35,,
1043,5,1,cubic inch,18,,
1043,6,1,slice (3/4 oz),21,,
1044,1,1,"cup, diced",140,,
1044,2,1,"cup, shredded",113,,
1044,3,1,oz,28.35,,
1044,4,1,cubic inch,18,,
1044,5,1,slice (3/4 oz),21,,
