1,1/27/04,7888,313.24,25.84,339.08
2,1/1/04,4858,54.9,4.53,59.43
3,1/17/04,15399,160.1,13.21,173.31
4,1/28/04,17019,106.67,8.8,115.47
5,1/9/04,14771,256,21.12,277.12
6,1/11/04,13734,382.59,31.56,414.15
7,1/5/04,17622,256.44,21.16,277.6
8,1/18/04,8331,67.85,5.6,73.45
9,1/6/04,14902,29.82,2.46,32.28
10,1/18/04,15112,20.78,1.71,22.49
11,1/31/04,1082,348.22,28.73,376.95
12,1/19/04,3608,65.26,5.38,70.64
13,1/17/04,15146,121.72,10.04,131.76
14,1/28/04,1540,259.89,21.44,281.33
15,1/3/04,12662,89.47,7.38,96.85
16,1/14/04,65,137.98,11.38,149.36
17,1/21/04,12753,138.85,11.46,150.31
18,1/23/04,4045,368.37,30.39,398.76
19,1/25/04,5768,131.86,10.88,142.74
20,1/6/04,8730,383.46,31.64,415.1
21,1/6/04,5479,345.84,28.53,374.37
22,1/26/04,14486,71.29,5.88,77.17
23,1/11/04,18638,363.4,29.98,393.38
24,1/12/04,5766,132.56,10.94,143.5
25,1/19/04,5310,263.5,21.74,285.24
26,1/31/04,6765,359.03,29.62,388.65
27,1/10/04,2294,346.22,28.56,374.78
28,1/2/04,1069,183.09,15.1,198.19
29,1/8/04,16597,28.04,2.31,30.35
30,1/15/04,4510,330.71,27.28,357.99
31,1/8/04,15566,250.39,20.66,271.05
32,1/18/04,292,152.09,12.55,164.64
33,1/22/04,6240,258.36,21.31,279.67
34,1/20/04,12854,207.41,17.11,224.52
35,1/6/04,12380,280.13,23.11,303.24
36,1/28/04,3726,62.86,5.19,68.05
37,1/8/04,18532,220.58,18.2,238.78
38,1/15/04,3340,318.2,26.25,344.45
39,1/16/04,970,325.75,26.87,352.62
40,1/18/04,16259,233.08,19.23,252.31
41,1/23/04,9258,175.43,14.47,189.9
42,1/29/04,5152,304.65,25.13,329.78
43,1/21/04,11927,23.55,1.94,25.49
44,1/16/04,15905,255.61,21.09,276.7
45,1/20/04,3525,50.67,4.18,54.85
46,1/29/04,2018,245.7,20.27,265.97
47,1/14/04,5864,97.63,8.05,105.68
48,1/24/04,16067,279.49,23.06,302.55
49,1/28/04,18911,22.41,1.85,24.26
50,1/7/04,10453,160.4,13.23,173.63
51,1/7/04,15185,103.25,8.52,111.77
52,1/17/04,16427,383.59,31.65,415.24
53,1/29/04,868,33.77,2.79,36.56
54,1/15/04,15146,311.01,25.66,336.67
55,1/24/04,18452,38.57,3.18,41.75
56,1/15/04,8688,261.62,21.58,283.2
57,1/4/04,17614,232.98,19.22,252.2
58,1/24/04,2442,15.31,1.26,16.57
59,1/3/04,15606,314.38,25.94,340.32
60,1/26/04,11554,368.63,30.41,399.04
61,1/26/04,7747,298.92,24.66,323.58
62,1/6/04,13335,125.2,10.33,135.53
63,1/15/04,5407,79.89,6.59,86.48
